article,stage,x_economic,y_social
data/articles\Iran-articles\FOX-Iran.txt,0,-1.12,-6.4617948717948686
data/articles\Iran-articles\FOX-Iran.txt,1,-0.9950000000000001,-6.205384615384614
data/articles\Iran-articles\FOX-Iran.txt,2,-1.745,-6.000256410256409
data/articles\Iran-articles\FOX-Iran.txt,3,-1.87,-6.000256410256409
data/articles\Iran-articles\FOX-Iran.txt,4,-1.87,-6.307948717948716
data/articles\Iran-articles\FOX-Iran.txt,5,-1.745,-6.410512820512819
data/articles\Iran-articles\FOX-Iran.txt,6,-0.9950000000000001,-6.307948717948716
data/articles\Iran-articles\FOX-Iran.txt,7,-1.87,-6.000256410256409
data/articles\Iran-articles\FOX-Iran.txt,8,-1.87,-6.205384615384614
data/articles\Iran-articles\FOX-Iran.txt,9,-0.7450000000000001,-6.307948717948716
data/articles\Iran-articles\FOX-Iran.txt,10,-1.87,-6.615641025641023
data/articles\Iran-articles\FOX-Iran.txt,11,-1.12,-6.000256410256409
data/articles\Iran-articles\NYPOST-Iran.txt,0,-1.12,-6.256666666666665
data/articles\Iran-articles\NYPOST-Iran.txt,1,-1.12,-6.564358974358972
data/articles\Iran-articles\NYPOST-Iran.txt,2,-1.87,-6.102820512820511
data/articles\Iran-articles\NYPOST-Iran.txt,3,-0.9950000000000001,-6.5130769230769205
data/articles\Iran-articles\NYPOST-Iran.txt,4,-1.87,-6.205384615384613
data/articles\Iran-articles\NYPOST-Iran.txt,5,-1.745,-6.205384615384614
data/articles\Iran-articles\NYPOST-Iran.txt,6,-1.12,-6.000256410256409
data/articles\Iran-articles\NYPOST-Iran.txt,7,-1.12,-6.615641025641023
data/articles\Iran-articles\NYPOST-Iran.txt,8,-1.12,-6.307948717948715
data/articles\Iran-articles\NYPOST-Iran.txt,9,-1.12,-6.307948717948716
data/articles\Iran-articles\NYPOST-Iran.txt,10,-1.12,-6.102820512820511
data/articles\Iran-articles\NYPOST-Iran.txt,11,-1.12,-6.615641025641023
data/articles\Iran-articles\NYT-Iran.txt,0,-1.12,-6.4617948717948686
data/articles\Iran-articles\NYT-Iran.txt,1,-1.87,-6.410512820512819
data/articles\Iran-articles\NYT-Iran.txt,2,-1.87,-6.307948717948716
data/articles\Iran-articles\NYT-Iran.txt,3,-1.745,-6.307948717948716
data/articles\Iran-articles\NYT-Iran.txt,4,-1.87,-6.205384615384614
data/articles\Iran-articles\NYT-Iran.txt,5,-1.12,-6.5130769230769205
data/articles\Iran-articles\NYT-Iran.txt,6,-1.87,-6.307948717948716
data/articles\Iran-articles\NYT-Iran.txt,7,-1.745,-6.102820512820511
data/articles\Iran-articles\NYT-Iran.txt,8,-0.9950000000000001,-6.410512820512819
data/articles\Iran-articles\NYT-Iran.txt,9,-1.87,-6.205384615384614
data/articles\Iran-articles\NYT-Iran.txt,10,-1.62,-6.205384615384614
data/articles\Iran-articles\NYT-Iran.txt,11,-1.87,-6.205384615384614
